iter	RMSE
0	7.566204929
1	7.191075529
2	6.869764425
3	6.587128009
4	6.343276104
5	6.131948665
6	5.954531933
7	5.799958268
8	5.667627632
9	5.551720152
10	5.451344745
11	5.367036555
12	5.294760012
13	5.234064378
14	5.180145635
15	5.12799764
16	5.08432929
17	5.045163097
18	5.014222765
19	4.986918756
20	4.960297367
21	4.92612327
22	4.897954877
23	4.879513077
24	4.85582058
25	4.83178275
26	4.814106483
27	4.795814044
28	4.779021489
29	4.763914387
30	4.753308373
31	4.741406267
32	4.732623032
33	4.723847855
34	4.710510278
35	4.70120404
36	4.690903684
37	4.681305957
38	4.673518106
39	4.662724471
40	4.652702268
41	4.645247885
42	4.638277577
43	4.63134595
44	4.624616973
45	4.618104626
46	4.609977696
47	4.604150238
48	4.59601269
49	4.589416234
50	4.582178344
51	4.576511122
52	4.571152518
53	4.566853315
54	4.561863189
55	4.557365395
56	4.552384471
57	4.547111497
58	4.541341627
59	4.532470576
60	4.527210807
61	4.522653944
62	4.518766624
63	4.512274801
64	4.506833386
65	4.503814658
66	4.500156931
67	4.496120123
68	4.491023359
69	4.483985764
70	4.480478995
71	4.476570461
72	4.473025484
73	4.467525354
74	4.463311725
75	4.458635138
76	4.454467081
77	4.449678284
78	4.443525263
79	4.438534226
80	4.434123053
81	4.43085916
82	4.428526141
83	4.424445583
84	4.420658524
85	4.417644876
86	4.414713187
87	4.41084156
88	4.406329187
89	4.402561427
90	4.400283157
91	4.396947037
92	4.393988293
93	4.390077134
94	4.38659078
95	4.383752034
96	4.378811027
97	4.373619704
98	4.369735487
99	4.365989279
100	4.3621165
101	4.359680766
102	4.356608428
103	4.353799997
104	4.351842044
105	4.348604348
106	4.346889868
107	4.34460725
108	4.342040437
109	4.337838996
110	4.335626157
111	4.332338672
112	4.328325557
113	4.325539626
114	4.322812628
115	4.319602994
116	4.317398375
117	4.314890906
118	4.312885576
119	4.310182397
120	4.307831408
121	4.305611696
122	4.304142253
123	4.301483771
124	4.297955047
125	4.294951534
126	4.292996079
127	4.2898397
128	4.287457616
129	4.285479102
130	4.283889176
131	4.279320807
132	4.276454812
133	4.274714199
134	4.272150618
135	4.269548767
136	4.266995827
137	4.264629923
138	4.26062299
139	4.25498584
140	4.252207437
141	4.248228449
142	4.246161789
143	4.24376972
144	4.241522798
145	4.239483678
146	4.23687884
147	4.235633819
148	4.232720435
149	4.22910708
150	4.226233685
151	4.223488385
152	4.22116109
153	4.219878591
154	4.217910308
155	4.21645067
156	4.215091947
157	4.213172323
158	4.210742621
159	4.20825574
160	4.206613985
161	4.204871346
162	4.203285774
163	4.201293863
164	4.198402615
165	4.19606377
166	4.19398691
167	4.192551065
168	4.190306388
169	4.188991294
170	4.186958195
171	4.18571681
172	4.18384727
173	4.182910235
174	4.181210808
175	4.179414694
176	4.177854984
177	4.176232484
178	4.174526785
179	4.173137516
180	4.171362009
181	4.169654904
182	4.167930503
183	4.166801652
184	4.164965807
185	4.163355088
186	4.161531789
187	4.160511921
188	4.15958424
189	4.157149676
190	4.155306811
191	4.153943872
192	4.152289207
193	4.151012361
194	4.147995049
195	4.146443502
196	4.145300416
197	4.143345152
198	4.141466921
199	4.140048931
200	4.138367811
201	4.137236605
202	4.136229351
203	4.134785075
204	4.133496201
205	4.131947896
206	4.131104928
207	4.129304596
208	4.128374611
209	4.127277279
210	4.125305645
211	4.123859224
212	4.121598973
213	4.120651077
214	4.118998868
215	4.118047993
216	4.116483876
217	4.115649628
218	4.114077249
219	4.112134979
220	4.110710112
221	4.109720202
222	4.10869839
223	4.107116825
224	4.105746462
225	4.103835672
226	4.102638668
227	4.101174887
228	4.099986155
229	4.0989266
230	4.097561956
231	4.094854146
232	4.093383763
233	4.091945379
234	4.091064093
235	4.089563067
236	4.088526944
237	4.087221033
238	4.086253449
239	4.085412465
240	4.08441533
241	4.083361881
242	4.081149624
243	4.08028208
244	4.079134548
245	4.078360126
246	4.0769703
247	4.075651566
248	4.074325503
249	4.073032743
250	4.072056751
251	4.070525658
252	4.069717638
253	4.068547657
254	4.067700086
255	4.066508452
256	4.065199034
257	4.063496406
258	4.062293923
259	4.061520647
260	4.060702908
261	4.059237474
262	4.058058387
263	4.057077367
264	4.055292162
265	4.054365562
266	4.053401404
267	4.052327868
268	4.051444998
269	4.050949799
270	4.049325073
271	4.048082954
272	4.047052462
273	4.045740926
274	4.044660501
275	4.043571165
276	4.042849998
277	4.042135063
278	4.04085441
279	4.039883722
280	4.039174235
281	4.038084683
282	4.037100021
283	4.036086858
284	4.035378285
285	4.034727702
286	4.033670682
287	4.032974916
288	4.032414117
289	4.031519563
290	4.030615937
291	4.02946085
292	4.02873837
293	4.027743667
294	4.026185077
295	4.02554934
296	4.024826228
297	4.02430711
298	4.023413403
299	4.022773541
300	4.021582867
301	4.020609697
302	4.019678251
303	4.018383711
304	4.017435661
305	4.016730264
306	4.015739232
307	4.014780502
308	4.013958989
309	4.012950948
310	4.011132553
311	4.010114156
312	4.009492135
313	4.008706719
314	4.007939627
315	4.00720826
316	4.00634781
317	4.00546134
318	4.004729831
319	4.003881386
320	4.003229736
321	4.00226054
322	4.001594749
323	4.000945239
324	3.999824248
325	3.998792989
326	3.997504411
327	3.99635314
328	3.995148179
329	3.994298949
330	3.99349081
331	3.992826889
332	3.991981603
333	3.9911131
334	3.990510189
335	3.989529343
336	3.988872076
337	3.98837245
338	3.987490378
339	3.986989957
340	3.986471596
341	3.985516465
342	3.985062959
343	3.984192208
344	3.983624727
345	3.982673993
346	3.981849605
347	3.981323814
348	3.980784686
349	3.980165438
350	3.979647797
351	3.978788352
352	3.978107634
353	3.977271664
354	3.97672694
355	3.976058365
356	3.974998902
357	3.974486583
358	3.973329996
359	3.972604257
360	3.971961264
361	3.971485354
362	3.970621909
363	3.969882981
364	3.969046099
365	3.968330547
366	3.967714837
367	3.967094996
368	3.966065372
369	3.965345053
370	3.964445183
371	3.96341416
372	3.9628289
373	3.961825485
374	3.960365431
375	3.959864233
376	3.958649168
