iter	Passed	Remaining
0	388	193950
1	781	194659
2	1169	193808
3	1590	197207
4	1996	197611
5	2395	197244
6	2780	195858
7	3143	193326
8	3514	191733
9	3897	190991
10	4238	188439
11	4597	186962
12	4957	185720
13	5341	185417
14	5682	183738
15	6066	183518
16	6404	181963
17	6750	180758
18	7128	180475
19	7460	179044
20	7835	178732
21	8236	178960
22	8631	179011
23	8980	178105
24	9364	177922
25	9716	177147
26	10088	176738
27	10477	176619
28	10854	176284
29	11262	176445
30	11558	174869
31	11950	174773
32	12304	174129
33	13124	179888
34	13543	179934
35	13874	178832
36	14249	178313
37	14591	177396
38	14941	176614
39	15310	176076
40	15726	176061
41	16092	175488
42	16445	174782
43	16851	174646
44	17182	173735
45	17527	172992
46	17883	172365
47	18233	171701
48	18616	171351
49	18993	170939
50	19351	170371
51	19696	169692
52	20035	168980
53	20374	168279
54	20665	167200
55	20989	166417
56	21286	165436
57	21629	164830
58	21970	164217
59	22334	163783
60	22706	163414
61	23057	162889
62	23363	162058
63	23718	161578
64	24098	161277
65	24446	160755
66	24826	160444
67	25194	160058
68	25567	159704
69	25945	159379
70	26331	159099
71	26724	158859
72	27056	158263
73	27462	158095
74	28265	160172
75	28620	159671
76	29019	159417
77	29412	159128
78	29757	158582
79	30076	157902
80	30418	157351
81	30812	157069
82	31141	156457
83	31509	156048
84	31869	155598
85	32181	154921
86	32549	154516
87	32874	153911
88	33247	153535
89	33612	153125
90	33951	152595
91	34256	151921
92	34566	151273
93	34898	150731
94	35282	150412
95	35633	149958
96	36068	149851
97	36397	149305
98	36813	149115
99	37169	148677
100	37574	148437
101	37886	147829
102	38203	147250
103	38512	146645
104	38851	146156
105	39193	145679
106	39535	145209
107	39840	144607
108	40182	144140
109	40622	144024
110	40967	143571
111	41358	143277
112	41718	142877
113	42054	142393
114	42518	142343
115	43288	143299
116	43641	142861
117	44009	142470
118	44316	141888
119	44670	141456
120	45008	140978
121	45389	140634
122	45730	140166
123	46103	139797
124	46511	139535
